track_id;class_name;direction;speed_kmh
2;car;outbound;36.0
4;car;outbound;38.0
6;truck;inbound;53.0
9;car;inbound;64.0
14;bus;outbound;35.0
16;car;outbound;37.0
18;car;inbound;81.0
23;car;inbound;85.0
29;car;inbound;59.0
30;car;outbound;36.0
31;car;outbound;33.0
35;car;inbound;59.0
42;car;inbound;85.0
43;car;outbound;33.0
45;car;outbound;24.0
49;car;inbound;67.0
50;car;outbound;33.0
52;car;inbound;64.0
53;car;outbound;33.0
56;truck;inbound;53.0
59;bus;inbound;55.0
63;car;outbound;24.0
73;car;inbound;61.0
74;car;outbound;34.0
77;car;inbound;61.0
79;car;inbound;57.0
84;car;inbound;76.0
85;car;outbound;25.0
89;car;inbound;51.0
91;car;inbound;64.0
95;car;outbound;35.0
105;car;inbound;55.0
107;car;outbound;33.0
109;car;outbound;38.0
111;car;inbound;64.0
116;car;inbound;49.0
117;car;inbound;67.0
119;car;outbound;33.0
120;truck;outbound;26.0
122;car;inbound;57.0
123;car;outbound;37.0
124;car;inbound;73.0
126;car;inbound;51.0
129;car;outbound;36.0
138;car;inbound;57.0
139;car;outbound;33.0
147;car;inbound;67.0
151;car;inbound;59.0
152;truck;outbound;26.0
156;car;outbound;35.0
164;car;inbound;67.0
165;car;inbound;55.0
171;car;outbound;24.0
175;car;inbound;81.0
178;car;inbound;61.0
179;car;inbound;85.0
180;car;outbound;29.0
184;car;inbound;53.0
185;car;inbound;61.0
190;car;outbound;29.0
195;car;inbound;61.0
196;car;inbound;51.0
198;car;inbound;53.0
204;car;inbound;61.0
206;car;inbound;59.0
210;car;outbound;30.0
213;car;inbound;49.0
215;car;inbound;57.0
217;car;inbound;61.0
225;car;inbound;61.0
227;car;inbound;76.0
228;car;outbound;27.0
230;car;outbound;31.0
232;car;inbound;67.0
235;car;inbound;57.0
236;car;inbound;61.0
240;car;outbound;31.0
244;car;inbound;67.0
250;car;inbound;61.0
253;car;inbound;59.0
261;car;outbound;34.0
262;car;outbound;29.0
263;car;inbound;61.0
264;car;inbound;57.0
268;car;inbound;61.0
269;car;inbound;61.0
270;car;inbound;61.0
271;car;outbound;23.0
272;car;outbound;32.0
274;car;inbound;70.0
275;car;inbound;57.0
276;car;inbound;73.0
283;car;inbound;61.0
284;car;inbound;53.0
286;car;inbound;61.0
288;car;outbound;33.0
295;car;outbound;29.0
296;car;inbound;59.0
297;car;inbound;61.0
299;car;inbound;61.0
304;car;inbound;59.0
306;car;outbound;30.0
307;car;inbound;64.0
308;bus;outbound;29.0
309;car;inbound;61.0
313;car;inbound;57.0
315;car;outbound;29.0
320;car;inbound;85.0
325;car;outbound;30.0
326;car;inbound;26.0
327;car;inbound;76.0
328;car;inbound;64.0
336;car;inbound;61.0
344;car;outbound;31.0
345;car;inbound;57.0
346;car;outbound;27.0
349;car;inbound;61.0
352;car;inbound;67.0
353;car;inbound;59.0
354;car;outbound;23.0
355;car;outbound;23.0
356;car;inbound;70.0
359;car;outbound;41.0
360;car;inbound;57.0
363;car;inbound;70.0
366;bus;outbound;31.0
367;car;inbound;55.0
368;car;outbound;27.0
370;car;inbound;73.0
372;car;inbound;61.0
373;car;inbound;57.0
374;car;outbound;29.0
381;car;inbound;81.0
382;car;inbound;59.0
386;car;inbound;67.0
387;car;inbound;53.0
389;car;outbound;31.0
390;car;inbound;61.0
392;car;inbound;61.0
393;car;outbound;21.0
397;car;inbound;61.0
400;car;inbound;61.0
402;car;inbound;64.0
409;car;outbound;31.0
412;car;inbound;61.0
417;car;inbound;96.0
419;car;inbound;67.0
420;car;outbound;22.0
424;car;inbound;57.0
429;car;inbound;59.0
430;car;inbound;70.0
433;car;inbound;61.0
434;car;outbound;19.0
436;car;outbound;24.0
438;car;inbound;70.0
440;car;inbound;61.0
443;car;outbound;23.0
447;car;inbound;59.0
448;car;inbound;70.0
451;car;outbound;18.0
454;car;inbound;67.0
455;car;inbound;57.0
456;car;inbound;76.0
459;car;inbound;64.0
461;car;inbound;61.0
462;car;inbound;76.0
463;car;inbound;70.0
470;car;outbound;16.0
471;car;inbound;70.0
477;car;inbound;70.0
478;car;outbound;18.0
481;car;inbound;102.0
484;car;inbound;64.0
487;car;inbound;73.0
489;car;inbound;61.0
