track_id;class_name;line1_frame;line2_frame;crossing_frame;time_sec;window_5min;direction;speed_kmh
1;car;;;;;;;
2;car;56;14;56;2.24;1;outbound;36.42857142857143
3;car;;;;;;;
4;car;100;60;100;4.0;1;outbound;38.25
5;car;31;;;;;;
6;truck;12;41;41;1.64;1;inbound;52.75862068965518
7;car;;25;;;;;
8;car;;;;;;;
9;car;13;37;37;1.48;1;inbound;63.75000000000001
11;car;;;;;;;
14;bus;136;92;136;5.44;1;outbound;34.77272727272727
16;car;135;94;135;5.4;1;outbound;37.31707317073171
18;car;40;59;59;2.36;1;inbound;80.52631578947368
19;car;;;;;;;
21;truck;;;;;;;
23;car;56;74;74;2.96;1;inbound;85.0
25;truck;;101;;;;;
26;bus;;;;;;;
29;car;69;95;95;3.8;1;inbound;58.84615384615385
30;car;172;130;172;6.88;1;outbound;36.42857142857143
31;car;191;145;191;7.64;1;outbound;33.26086956521739
33;car;;;;;;;
34;car;;;;;;;
35;car;101;127;127;5.08;1;inbound;58.84615384615385
36;car;;;;;;;
38;car;;170;;;;;
39;car;;189;;;;;
41;car;132;;;;;;
42;car;136;154;154;6.16;1;inbound;85.0
43;car;244;198;244;9.76;1;outbound;33.26086956521739
44;car;;;;;;;
45;car;308;244;308;12.32;1;outbound;23.90625
46;car;;;;;;;
48;car;;262;;;;;
49;car;218;241;241;9.64;1;inbound;66.52173913043478
50;car;314;268;314;12.56;1;outbound;33.26086956521739
52;car;252;276;276;11.04;1;inbound;63.75000000000001
53;car;358;311;358;14.32;1;outbound;32.55319148936171
56;truck;304;333;333;13.32;1;inbound;52.75862068965518
57;car;;;;;;;
58;car;;;;;;;
59;bus;313;341;341;13.64;1;inbound;54.64285714285714
63;car;384;321;384;15.36;1;outbound;24.285714285714285
66;car;;364;;;;;
68;truck;311;;;;;;
69;truck;;;;;;;
70;truck;314;;;;;;
72;car;;375;;;;;
73;car;324;349;349;13.96;1;inbound;61.2
74;car;431;386;431;17.24;1;outbound;34.0
76;car;;393;;;;;
77;car;354;379;379;15.16;1;inbound;61.2
79;car;355;382;382;15.28;1;inbound;56.666666666666664
82;car;;;;;;;
84;car;395;415;415;16.6;1;inbound;76.5
85;car;508;447;508;20.32;1;outbound;25.081967213114755
86;car;;;;;;;
